id,positive
491,crank
493,capital
494,corking
495,clear
496,caress
497,cheerful
498,mood
499,complimentary
500,words
501,contented
502,coziness
503,cuteness
504,carefreeness
505,carefree,calm
506,celebrated
507,certain
508,champ
509,champion
510,charming
511,cheery
512,choice
513,classic
514,classical
515,clean
516,commend
517,composed
518,congratulation
519,constant
520,cool
521,courageous
522,creative
523,cute
524,calm
525,careful
526,charming
527,communicative
528,compassionate
529,conscientious
530,considerate
531,convivial
532,courageous
533,courteous
534,creative
535,direction
536,delicate
537,decent
538,desirable
539,delicious
541,deliciousness
542,do
543,dream
545,dreamy
546,dynamic
547,daring
548,decisiveness
549,delight
551,delighted
553,delightful
554,dependability
555,desire
556,determination
557,devotion
558,dignity
559,diligence
560,discipline
561,discovery
562,discretion
563,diversity
564,drive
565,duty
566,divine
567,dazzled
568,disney
569,devoted
570,dandy
571,daimon
572,debonair
573,detachment
574,dedicated
575,dauwtrappen
576,dazzle
577,delightfully
578,defencelessness,dazzling
579,delight
580,delightful
581,distinguished
582,divine
583,decisive
584,determined
585,diligent
586,diplomatic
587,discreet
588,dynamic
589,empathy
591,empathize
593,emphatic
594,easy
596,easily
598,easier
599,educate
601,education
603,educated
604,efficient
605,enable
607,enabled
608,energetic
610,energize
612,energy
613,engage
615,engaging
617,engaged
618,enjoy
620,enjoyment
621,enough
622,eager
624,eagerness
625,effectiveness
626,efficiency
627,elation
628,elegance
629,encourage
631,encouragement
633,encouraged
634,endurance
635,equality
636,excellence
638,excellent
639,excite
641,excitement
643,excited
644,experience
645,expertise
646,exploration
647,expressiveness
649,expressing
650,enlightenment
651,eternal
652,exaltation
653,emulate
654,empower
656,empowering
658,empowered
659,expansive
660,exhilarating
661,enthusiastic
663,enthusiasm
664,engrossed
665,enchanted
666,entranced
667,ecstatic
668,elated
669,enthralled
670,exuberant
672,exuberance
673,expectant
674,equanimous
675,enlivened
676,efficacy
677,ease
678,exemplary
679,extraordinary
680,earnest
681,elevate
683,elevated
684,equanimity
685,ease-of-mind
686,excited
687,anticipation
688,extra
689,equity
691,equitably
693,equitable
694,easy
695,to
696,talk
697,to
698,easy
699,to
700,approach
701,ecstatify
702,eudaemonism
703,eudaemonist
704,eudaemonistic
705,eudaimonia
706,eudamonia
707,evolve
708,exalting
709,exstatisfy
710,exultant
711,astronomical
712,champion
713,champ’
714,electric
715,enormous
717,exceptional
718,exciting
719,exquisite
720,effortlessness
721,eunoia
722,ecosophy
723,ebullience
724,embrace
725,empowering
726,words
727,encouraging
728,words
729,erlebnis
730,effortless
731,ease
732,effortlessly,earnest
733,easy
734,ecstatic
735,effective
736,effervescent
737,efficient
738,effortless
739,electrifying
740,elegant
741,enchanting
742,encouraging
743,endorsed
744,energetic
745,energized
746,engaging
747,enthusiastic
748,essential
749,esteemed
750,ethical
751,excellent
752,exciting
753,exquisite
754,easygoing
755,emotional
756,energetic
757,enthusiastic
758,exuberant
759,fantastic
760,feel
761,good
763,feeling
765,flow
767,flowing
768,fabulous
769,fair
770,faith
771,faithful
772,fame
773,favorite
774,fairness
775,family
776,fidelity
777,flexibility
778,focus
779,flourish
780,forgive
782,forgiving
784,forgiveness
785,fortitude
786,free
788,freedom
789,frugality
790,fun
791,future
792,friend
794,friendly
796,friendship
798,friendliness
799,fascinate
801,fascinated
802,fulfill
804,fulfilled
805,food
806,feisty
808,feistiness
809,feasible
810,fine
811,fearless
812,festive
814,festiveness
815,fit
816,fantabulous
817,freecycle
818,funerific
819,funology
820,flawless
821,famous
822,fancy
823,flashy
824,ftw
825,funny
826,jokes
827,flaunting
828,fondle
829,fric-tionlessly
830,flawlessly
831,fabulous
832,fair
833,familiar
834,famous
835,fantastic
836,favorable
837,fetching
838,fine
839,fitting
840,flourishing
841,fortunate
842,free
843,fresh
844,friendly
845,fun
846,funny
847,fair-minded
848,faithful
849,fearless
850,forceful
851,frank
852,friendly
853,funny
854,glow
855,generous
857,generosity
858,generate
859,genial
860,genius
861,genuine
862,gift
863,give
865,giving
866,good
867,goodness
868,going
869,the
870,extra
871,mile
872,grace
873,gratitude
875,gratefulness
876,grow
878,growth
879,guide
881,guiding
883,guidance
884,god
885,grounded
886,glory
887,godliness
888,good-feeling
889,groovy
890,giddy
891,glad
892,good
893,health
894,glamor
895,giggling
896,goddess
897,gorgeous
899,gorgeousness
900,grandiosity
901,generavity
902,gentleman
903,gargantuan
904,grand
905,great
906,ginger
907,good-humored
908,goodwill
909,greatful
910,gemutlichkeit
911,gibigiana
912,gigil
913,good
914,indwelling
915,spirit
916,good
917,word
918,good
919,words
920,good-humored
921,goodwill
922,good
923,fortune
924,gypsy
925,soul
926,generous
927,genius
928,genuine
929,giving
930,glamorous
931,glowing
932,good
933,gorgeous
934,graceful
935,great
936,green
937,grin
938,growing
939,generous
940,gentle
941,good
942,gregarious
943,hope
945,hopefulness
946,happiness
948,happy
950,happily
951,harmonious
953,harmonize
955,harmony
956,health
958,healthy
959,heart
960,hello
961,help
963,helpful
965,helping
966,hot
968,honest
970,honesty
971,human
972,humor
973,helpfulness
974,hero
976,heroism
977,holy
979,holiness
980,honor
981,hospitality
982,humble
983,heaven
985,heavenly
986,halo
987,heartfelt
988,heartwarming
989,one-pointedness
990,happy
991,hearted
992,heedful
993,handsome
994,huge
995,high-spiritedness
996,highly
997,distinguished
998,happy
999,words
1000,heart-opening
1001,hospitable
1002,human
1003,flourishing
1004,highly
1005,distinguished
1006,harness
1007,handsome
1008,happy
1009,harmonious
1010,healing
1011,healthy
1012,hearty
1013,heavenly
1014,honest
1015,honorable
1016,honored
1017,hug
1018,hard-working
1019,helpful
1020,honest
1021,humorous
1022,imagination
1023,inspire
1025,inspiration
1027,inspired
1029,inspirational
1030,in-love
1031,idea
1032,incredible
1033,innovate
1035,innovation
1036,interesting
1038,interest
1040,interested
1041,improvement
1042,independence
1043,influence
1044,ingenuity
1045,inner
1046,peace
1047,insight
1049,insightfulness
1051,insightful
1052,integrity
1053,intelligence
1055,intelligent
1056,intensity
1057,intimacy
1058,intuitiveness
1059,inventiveness
1060,investing
1061,intention
1062,invigorate
1064,invigorated
1065,intrigued
1066,involve
1068,involved
1069,inclusion
1070,innocent
1071,ineffable
1072,intrepid
1073,idealism
1074,illumination
1076,illuminated
1077,incomparable
1078,invincible
1079,inquisitive
1080,infinite
1081,infinity
1082,illustrious
1083,inner
1084,ichariba
1085,chode
1086,ikigai
1087,incredible
1088,cuteness
1089,indwelling
1090,inspirational
1091,words
1092,inspiring
1093,word
1094,inspiring
1095,words
1096,iridescent
1097,illustrious
1098,inner
1099,idea
1100,ideal
1101,imaginative
1102,imagine
1103,impressive
1104,independent
1105,innovate
1106,innovative
1107,instant
1108,instantaneous
1109,instinctive
1110,intuitive
1111,intellectual
1112,intelligent
1113,inventive
1114,imaginative
1115,impartial
1116,independent
1117,intellectual
1118,intelligent
1119,intuitive
1120,inventive
1121,joy
1123,joyful
1125,joyous
1126,joke
1127,jolly
1128,jovial
1129,just
1130,justice
1131,jubilant
1132,juvenescent
1133,jumpy
1134,jammin
1135,jubilingo
1136,jovial
1137,jubilant
1138,kindness
1140,kind
1142,kind-heart
1144,kindly
1145,keep-up
1146,kiss
1147,knowledge
1148,kittens
1149,keen
1150,kaajhuab
1151,kalon
1152,kilig
1153,kind
1154,words
1155,koibito
1156,kibun
1157,keen
1158,kind
1159,knowing
1160,knowledgeable
1161,like
1162,laugh
1164,laughing
1165,learn
1167,learning
1168,life
1169,live
1171,living
1172,luxury
1173,longevity
1174,loyalty
1176,loyal
1177,love
1179,lovable
1181,loving
1182,liberty
1183,logic
1184,leader
1186,leadership
1187,luck
1189,lucky
1190,light
1191,loving-kindness
1192,lively
1193,life
1194,of
1195,the
1196,party
1197,lovely
1198,loving
1199,acceptance
1200,loving
1201,feelings
1202,lightworker
1203,leading
1204,light
1205,fog
1206,lives
1207,through
1208,love
1209,words
1210,lover
1211,of
1212,beauty
1213,lustrous
1214,lustrous
1215,colors
1216,light-hearted
1217,laugh
1218,legendary
1219,light
1220,learned
1221,lively
1222,lovely
1223,lucid
1224,lucky
1225,luminous
1226,meaning
1228,meaningful
1229,more
1230,magnificent
1231,majesty
1232,many
1233,marvelous
1234,merit
1235,motivate
1236,miracle
1237,magic
1238,making
1240,difference
1241,mastery
1242,maturity
1243,mindful
1245,mindfulness
1246,modesty
1247,motivation
1249,motivational
1250,mercy
1251,meditation
1252,mind-blowing
1253,mellow
1254,moved
1255,movement
1256,mutuality
1257,mourning
1258,meliorism
1259,mench
1260,mindsight
1261,mindsight
1262,major
1263,mild
1264,meaningful
1265,words
1266,memorable
1267,morphing
1268,motivated
1269,words
1270,motivating
1271,words
1272,motivational
1273,words
1274,moving
1275,marvelous
1276,masterful
1277,meaningful
1278,merit
1279,meritorious
1280,miraculous
1281,motivating
1282,moving
1283,noble
1284,nurturing
1286,nurture
1287,non-resistance
1289,non-resistant
1290,new
1291,nice
1292,nirvana
1293,neat
1294,nature-made
1295,nourish
1297,nourished
1299,nourishing
1301,nourishment
1302,namaste
1303,neoteny
1304,nice
1305,words
1306,novaturient,natural
1307,nice
1308,novel
1309,now
1310,nurturing
1311,nutritious
1312,optimist
1314,optimistic
1315,outstanding
1316,ok
1317,on
1318,onwards
1319,open
1321,openly
1323,opening
1324,open-minded
1325,opportunity
1326,original
1327,openness
1328,optimism
1329,order
1330,organization
1331,originality
1332,outcome
1333,orientation
1334,obedient
1335,open
1336,hearted
1337,omg
1338,overcome
1339,om
1340,mani
1341,padme
1342,hum
1343,outgoing
1344,oneness
1345,outernationalist
1346,overly
1347,optimistic
1348,orenda
1349,okay
1350,one
1351,one-hundred
1352,percent
1353,open
1354,optimistic
1355,perfect
1357,perfection
1358,positive
1359,energy
1360,positive
1361,thoughts
1362,positive
1363,events
1364,positive
1365,circumstances
1366,positive
1367,beliefs
1368,peace
1370,pacify
1371,paradise
1373,paradisiac
1374,passion
1376,passionate
1377,please
1378,pure
1379,perceptiveness
1380,perseverance
1381,persistence
1382,personal
1383,growth
1384,pleasure
1385,positive
1386,attitude
1387,positive
1388,words
1389,power
1391,powerful
1392,practicality
1393,precision
1394,preparedness
1395,presence
1396,preservation
1397,privacy
1398,proactivity
1400,proactive
1401,progress
1402,prosperity
1403,prosperous
1404,punctuality
1406,punctual
1407,patience
1408,proud
1409,pleased
1410,play
1412,playful
1414,playfulness
1415,participation
1416,purpose
1417,pick-me-up
1418,pronia
1419,pious
1420,puppies
1421,polite
1422,positive
1423,mind
1424,positive
1425,thinking
1426,pretty
1427,precious
1428,pardon
1429,perkiness
1430,piquancy
1431,posichoice
1432,posidriving
1433,posifit
1434,posilenz
1435,posimass
1436,posiminder
1437,posiratio
1438,posiripple
1439,posirippler
1440,posiripples
1441,posisinger
1442,posisite
1443,posistrength
1444,positibilitarian
1445,positraction
1446,positude
1447,posivalues
1448,posiword
1449,possibilitarian
1450,promptness
1451,proto
1452,priceless
1453,pep
1455,peppiness
1456,permalicious
1457,plucky
1458,pollyannaism
1459,pride
1460,positive
1461,feelings
1462,peace
1463,of
1464,mind
1465,peaceful
1466,words
1467,petrichor
1468,philocalist
1469,positive
1470,emotions
1471,positive
1472,feelings
1473,positive
1474,vocabulary
1475,power
1476,words
1477,powerful
1478,positive
1479,words
1480,powerful
1481,words
1482,power-on
1483,power-up
1484,protect
1485,paradise
1486,perfect
1487,phenomenal
1488,pleasurable
1489,plentiful
1490,pleasant
1491,poised
1492,polished
1493,popular
1494,positive
1495,powerful
1496,prepared
1497,pretty
1498,principled
1499,productive
1500,progress
1501,prominent
1502,protected
1503,proud
1504,passionate
1505,patient
1506,persistent
1507,pioneering
1508,philosophical
1509,placid
1510,plucky
1511,polite
1512,powerful
1513,practical
1514,pro-active
1515,quality
1516,quiet
1518,quietness
1519,quaint
1520,quiescent
1521,queenly
1522,quickening
1523,quiddity
1524,quiescent
1525,mind
1526,quality
1527,words
1528,quality
1529,quick
1530,quiet
1531,respect
1532,radiant
1533,ready
1535,readiness
1536,real
1538,reality
1539,reason
1540,recommend
1541,refresh
1543,refreshed
1544,relax
1546,relaxed
1547,relief
1548,relieve
1550,relieved
1551,remarkable
1552,rationality
1553,recognition
1554,relationships
1555,reliable
1557,reliability
1558,religion
1559,resourcefulness
1560,responsibility
1561,righteousness
1562,risk-taking
1563,romance
1564,revelation
1565,revived
1566,restore
1568,restored
1569,rest
1571,rested
1572,renew
1574,renewed
1575,rejuvenate
1577,rejuvenated
1578,rapture
1580,rapturous
1581,resilient
1583,resilience
1584,reverence
1585,ripe
1586,reborn
1587,relatedness
1588,rasasvada
1589,repose
1590,rosiness
1591,relent
1592,renowned
1593,respected
1594,rainbow
1595,romantic
1596,relent
1597,renowned
1598,ready
1599,reassuring
1600,refined
1601,refreshing
1602,rejoice
1603,reliable
1604,remarkable
1605,resounding
1606,respected
1607,restored
1608,reward
1609,rewarding
1610,right
1611,robustrational
1612,reliable
1613,reserved
1614,resourceful
1615,romantic
1616,scope
1617,smile
1619,smiling
1620,soulmate
1621,soul
1623,soulful
1624,sacred
1625,safe
1627,safety
1628,secure
1630,secured
1632,security
1633,sustain
1635,sustained
1636,save
1637,savings
1638,simple
1640,simplify
1641,selflessness
1642,self-esteem
1643,service
1644,simplicity
1645,sincerity
1646,skill
1648,skilled
1649,spirit
1650,serene
1652,serenity
1653,stability
1654,strength
1655,style
1656,systematization
1657,self-love
1658,strive
1659,salvation
1660,self-respect
1661,self-forgiveness
1662,serve
1663,sympathetic
1664,self-compassion
1665,self-kindness
1666,spellbound
1667,stimulated
1669,stimulating
1671,stimulation
1672,satisfied
1673,still
1674,surprised
1675,sleep
1676,sexual
1677,expression
1678,shelter
1679,self-expression
1680,space
1682,spacious
1683,spontaneity
1685,spontaneous
1686,sunshine
1687,spark
1689,sparkle
1691,sparkles
1692,sweet
1694,sweetness
1695,support
1697,supporting
1699,supported
1700,sexy
1702,sexiness
1703,supreme
1704,succulent
1705,sweetheart
1706,study
1708,studious
1709,savour
1711,savouring
1712,sufficient
1713,stupendous
1714,swag
1716,swaggy
1717,splendid
1718,smart
1719,spectacular
1720,special
1721,serendipity
1722,synergy
1723,shine
1725,shining
1726,start
1727,steadfastness
1728,sublime
1729,sunniness
1730,superpower
1731,spunky
1732,shape-shifting
1733,virtuoso
1734,soul-stretching
1735,strong
1736,words
1737,safe
1738,satisfactory
1739,secure
1740,seemly
1741,simple
1742,skilled
1743,skillful
1744,smile
1745,soulful
1746,sparkling
1747,special
1748,spirited
1749,spiritual
1750,stirring
1751,stupendous
1752,stunning
1753,success
1754,successful
1755,sunny
1756,super
1757,superb
1758,supporting
1759,surprising
1760,self-confident
1761,self-disciplined
1762,sensible
1763,sensitive
1764,shy
1765,sincere
1766,sociable
1767,straightforward
1768,sympathetic
1769,true
1770,trust
1772,trusting
1774,tact
1775,teach
1777,teachable
1778,team
1779,thankful
1781,thank
1783,thank-you
1785,thankfulness
1786,therapy
1787,time
1788,teamwork
1789,timeliness
1790,tolerance
1791,tradition
1792,tranquil
1794,tranquility
1795,truth
1797,truthfulness
1798,tender
1799,thrilled
1800,touch
1802,touched
1803,tickled
1804,to
1805,matter
1806,to
1807,know
1808,to
1809,be
1810,known
1811,to
1812,be
1813,seen
1814,transformative
1816,transformation
1818,transform
1819,triumph
1820,thrive
1822,thriving
1823,tenacity
1824,to
1825,be
1826,transparent
1827,temul
1828,tenderly
1829,tidsoptimist
1830,time
1831,terrific
1832,thorough
1833,thrilling
1834,thriving
1835,tops
1836,tranquil
1837,transforming
1838,transformative
1839,trusting
1840,truthful
1841,unification
1842,unique
1843,uplift
1844,ultimate
1845,unconditional
1846,upgrade
1847,useful
1848,user-friendly
1849,unity
1850,understand
1852,understanding
1854,understood
1855,unification
1856,of
1857,mind
1858,up
1859,upskill
1860,unbelievable
1861,unflappable
1862,unreal
1863,utter
1864,amazement
1865,unabashed
1866,unabashed
1867,pleasure
1868,unbearably
1869,cute
1870,unhurry
1871,unbelievable
1872,unflappable
1873,unreal
1874,utter
1875,amazement
1876,unreal
1877,unwavering
1878,up
1879,upbeat
1880,upright
1881,upstanding
1882,vitality
1883,value
1885,values
1887,valuable
1888,virtuous
1889,valid
1890,verify
1891,very
1892,viable
1893,virtue
1894,victory
1896,victorious
1897,variety
1898,vulnerability
1900,vulnerable
1901,vibrant
1902,vow
1903,vim
1904,vigor
1905,veneration
1906,vocabuleverage
1907,versatility,valued
1908,vibrant
1909,victorious
1910,victory
1911,vigorous
1912,virtuous
1913,vital
1914,vivacious
1915,worth
1917,worthy
1919,worthiness
1920,wealth
1921,warm
1923,warmth
1924,welcome
1925,will
1926,willing
1928,willingness
1930,wisdom
1931,wise
1932,won
1933,wonderful
1934,well-being
1935,wholeheartedness
1936,wow
1937,wonder
1938,water
1939,well
1940,wellness
1941,welfare
1942,whole
1943,wonder-working
1944,win
1946,winnable
1948,winning
1949,walwalun
1950,wealthy
1951,welcome
1952,well
1953,whole
1954,wholesome
1955,willing
1956,wonderful
1957,wondrous
1958,worthy
1959,wow
1961,xo
1962,x-ray
1963,vision
1964,xenodochial
1965,xfactor
1966,xenophile
1967,xenial
1968,yes
1969,youth
1971,youthful
1972,young
1973,young
1974,at-heart
1975,yippee
1976,yay
1977,yearn
1978,yea
1979,yeah
1980,yummy
1981,yen
1982,yesability
1983,yugen
1984,yaraana
1985,yesable
1986,you
1987,are
1988,loved
1989,zealous
1990,zeal
1991,zest
1993,zesty
1995,zestful
1996,zippy
1997,zing
1998,zappy
1999,zany
2000,realible
2001,relible
